id	related_id	class	type/scale	name	relevance	text	help	language	validation	mandatory	encrypted	other	default	same_default	same_script	allowed_filetypes	alphasort	answer_order	answer_width	answer_width_bycolumn	array_filter	array_filter_exclude	array_filter_style	assessment_value	category_separator	choice_input_columns	choice_title	commented_checkbox	commented_checkbox_auto	cssclass	date_format	date_max	date_min	display_columns	display_rows	display_type	dropdown_dates	dropdown_dates_minute_step	dropdown_dates_month_style	dropdown_prefix	dropdown_prepostfix	dropdown_separators	dropdown_size	dualscale_headerA	dualscale_headerB	em_validation_q	em_validation_q_tip	em_validation_sq	em_validation_sq_tip	equals_num_value	equation	exclude_all_others	exclude_all_others_auto	hidden	hide_tip	input_boxes	input_size	label_input_columns	location_city	location_country	location_defaultcoordinates	location_mapheight	location_mapservice	location_mapwidth	location_mapzoom	location_nodefaultfromip	location_postal	location_state	max_answers	max_filesize	max_num_of_files	max_num_value	max_num_value_n	max_subquestions	maximum_chars	min_answers	min_num_of_files	min_num_value	min_num_value_n	multiflexible_checkbox	multiflexible_max	multiflexible_min	multiflexible_step	num_value_int_only	numbers_only	other_comment_mandatory	other_numbers_only	other_replace_text	page_break	parent_order	placeholder	prefix	printable_help	public_statistics	random_group	random_order	rank_title	repeat_headings	reverse	samechoiceheight	samelistheight	scale_export	show_comment	show_grand_total	show_title	show_totals	showpopups	slider_accuracy	slider_custom_handle	slider_default	slider_default_set	slider_handle	slider_layout	slider_max	slider_middlestart	slider_min	slider_orientation	slider_rating	slider_reset	slider_reversed	slider_separator	slider_showminmax	statistics_graphtype	statistics_showgraph	statistics_showmap	suffix	text_input_columns	text_input_width	time_limit	time_limit_action	time_limit_countdown_message	time_limit_disable_next	time_limit_disable_prev	time_limit_message	time_limit_message_delay	time_limit_message_style	time_limit_timer_style	time_limit_warning	time_limit_warning_2	time_limit_warning_2_display_time	time_limit_warning_2_message	time_limit_warning_2_style	time_limit_warning_display_time	time_limit_warning_message	time_limit_warning_style	use_dropdown	value_range_allows_missing
		Q	L	HD1	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_1.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF1	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option1	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	1	Case2a				it																																																																																																																																											
		Q	L	HD2	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF2	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option2	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	1	Case3a				it																																																																																																																																											
		Q	L	HD3	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_3.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF3	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option3	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	1	Case4a				it																																																																																																																																											
		Q	L	HD4	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_4.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF4	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option4	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	1	Case5a				it																																																																																																																																											
		Q	L	HD5	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_5.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF5	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option5	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	1	Case6a				it																																																																																																																																											
		Q	L	HD6	1	"<p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_6.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisioneiniziale1>		it																																																																																																																																											
		A	0	0		<decisioneiniziale0>		it																																																																																																																																											
		Q	F	CONF6	1	"Relativamente alla sua risposta, valuti quanto è sicur* di questa in una scala da ""Per nulla sicur*"" a ""Totalmente sicur*"""		it		Y																																																																																																																																									
		SQ		CONFI	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		(Per nulla confidente)		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		(Totalemente confidente)		it																																																																																																																																											
		Q	F	option6	1	<p>A</p><p>B</p><p>C</p>		it		Y																																																																																																																																									
		SQ		OPTI1	1	option1		it		N																																																																																																																																									
		SQ		OPTI3	1	option2		it		N																																																																																																																																									
		SQ		OPTI3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case1b				it																																																																																																																																											
		Q	L	FHD1	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_1.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF1	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		totalemente confidente		it																																																																																																																																											
		Q	F	Q001	1	<p>[optionfinale1]</p><p>[optionfinale2]</p><p>[optionfinale3]</p><p><testo advice= presentazione=></testo></p>		it		N																																																																																																																																									
		SQ		OPTF1	1	option1		it		N																																																																																																																																									
		SQ		OPTF2	1	option2		it		N																																																																																																																																									
		SQ		OPTF3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case2b				it																																																																																																																																											
		Q	L	FHD2	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_2.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF2	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		totalemente confidente		it																																																																																																																																											
		Q	F	Q002	1	<p>[optionfinale1]</p><p>[optionfinale2]</p><p>[optionfinale3]</p><p><testo advice= presentazione=></testo></p>		it		N																																																																																																																																									
		SQ		OPTF1	1	option1		it		N																																																																																																																																									
		SQ		OPTF2	1	option2		it		N																																																																																																																																									
		SQ		OPTF3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case3b				it																																																																																																																																											
		Q	L	FHD3	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_3.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF3	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		totalemente confidente		it																																																																																																																																											
		Q	F	Q003	1	<p>[optionfinale1]</p><p>[optionfinale2]</p><p>[optionfinale3]</p><p><testo advice= presentazione=></testo></p>		it		N																																																																																																																																									
		SQ		OPTF1	1	option1		it		N																																																																																																																																									
		SQ		OPTF2	1	option2		it		N																																																																																																																																									
		SQ		OPTF3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case4b				it																																																																																																																																											
		Q	L	FHD4	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_4.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF4	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		totalemente confidente		it																																																																																																																																											
		Q	F	Q004	1	<p>[optionfinale1]</p><p>[optionfinale2]</p><p>[optionfinale3]</p><p><testo advice= presentazione=></testo></p>		it		N																																																																																																																																									
		SQ		OPTF1	1	option1		it		N																																																																																																																																									
		SQ		OPTF2	1	option2		it		N																																																																																																																																									
		SQ		OPTF3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case5b				it																																																																																																																																											
		Q	L	FHD5	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_5.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF5	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
		A	0	4		totalemente confidente		it																																																																																																																																											
		Q	F	Q005	1	<p>[optionfinale1]</p><p>[optionfinale2]</p><p>[optionfinale3]</p><p><testo advice= presentazione=></testo></p>		it		N																																																																																																																																									
		SQ		OPTF1	1	option1		it		N																																																																																																																																									
		SQ		OPTF2	1	option2		it		N																																																																																																																																									
		SQ		OPTF3	1	option3		it		N																																																																																																																																									
		A	0	AO01		Per niente		it																																																																																																																																											
		A	0	AO02				it																																																																																																																																											
		A	0	AO03				it																																																																																																																																											
		A	0	AO04		Totalmente		it																																																																																																																																											
		G	2	Case6b				it																																																																																																																																											
		Q	L	FHD6	1	"<p>Il supporto AI ti darà suggerimenti per rispondere alle domande</p><p>Qual è la risposta corretta?</p><img src=""{SURVEYRESOURCESURL}/images/presentazione_caso_6.png""/><p>Secondo il supporto AI la risposta corretta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice1.png""/><p>Secondo il supporto AI la risposta corretta è l'altra perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice1.png""/><p>Secondo la Ai la risposta è:</p><img src=""{SURVEYRESOURCESURL}/images/immagineadvice2.png""/><p>La risposta è [...] perchè [...]</p><img src=""{SURVEYRESOURCESURL}/images/immaginespiegazioneadvice2.png""/>"		it		Y																																																																																																																																									
		A	0	1		<decisionefinale1>		it																																																																																																																																											
		A	0	0		<decisionefinale0>		it																																																																																																																																											
		Q	F	FCONF6	1	Dopo aver ricevuto questa spiegazione, qual è la sua risposta definitiva?<testo valutazioni=></testo>		it		Y																																																																																																																																									
		SQ		CONFF	1	<confidenza>		it		N																																																																																																																																									
		A	0	1		per nulla confidente		it																																																																																																																																											
		A	0	2				it																																																																																																																																											
		A	0	3				it																																																																																																																																											
